0.1_vis,0.1_invis,0.2_vis,0.2_invis,0.3_vis,0.3_invis
-0.1,-0.1,-0.1,0.0,-0.3,0.1
0.0,-0.1,-0.1,0.0,-0.2,0.0
0.1,0.1,-0.2,-0.1,-0.2,-0.3
-0.1,0.1,0.2,-0.1,-0.2,0.2
0.0,-0.1,0.2,0.1,0.3,-0.3
0.1,-0.1,-0.1,0.0,0.2,0.2
0.0,0.0,-0.2,-0.2,0.1,-0.1
0.1,-0.1,-0.2,0.1,0.1,-0.3
0.1,0.0,0.0,-0.1,0.1,0.2
0.1,-0.1,-0.2,-0.1,0.1,-0.2
0.1,-0.1,0.0,0.0,0.1,-0.2
0.0,0.1,0.0,-0.2,-0.2,-0.1
0.1,0.1,-0.1,-0.1,-0.3,0.2
-0.1,0.0,0.0,0.0,-0.3,0.0
0.0,-0.1,-0.2,-0.1,0.0,0.0
-0.1,-0.1,0.2,-0.1,0.1,-0.1
0.0,0.0,0.0,0.0,-0.1,-0.1
-0.1,0.1,0.2,0.1,-0.1,0.1
0.1,-0.1,0.0,0.1,-0.2,0.0
0.0,0.0,-0.2,-0.1,0.2,-0.2
-0.1,0.1,0.1,0.2,0.2,0.1
0.0,0.1,0.2,0.1,-0.3,-0.1
0.0,0.1,-0.1,0.1,-0.1,-0.1
0.1,-0.1,-0.1,0.0,-0.2,0.0
-0.1,-0.1,-0.1,0.2,-0.2,-0.2
-0.1,0.0,0.1,0.1,0.0,-0.1
0.1,0.0,0.1,-0.2,-0.2,0.0
0.1,0.1,0.0,0.2,-0.3,-0.3
0.1,0.1,0.1,0.1,0.0,-0.1
0.0,-0.1,0.1,-0.1,0.3,-0.3
0.1,-0.1,-0.2,-0.2,0.0,-0.1
0.0,0.1,0.2,-0.2,-0.1,0.0
-0.1,-0.1,0.2,-0.1,0.0,0.1
-0.1,0.1,-0.1,0.1,-0.2,-0.3
0.0,0.0,0.0,0.1,0.2,-0.1
-0.1,-0.1,0.1,-0.1,0.0,-0.3
-0.1,0.0,0.0,-0.1,0.2,-0.3
0.1,0.0,0.0,0.0,0.0,-0.3
-0.1,0.1,0.2,-0.1,-0.2,0.1
-0.1,-0.1,-0.1,0.0,0.1,0.1
0.1,-0.1,-0.2,-0.1,0.2,0.3
0.1,0.1,-0.2,-0.1,-0.1,0.0
0.0,-0.1,0.2,0.2,-0.1,0.2
-0.1,0.1,0.2,0.1,-0.1,0.1
0.0,0.0,0.0,0.1,-0.3,0.3
0.1,0.1,0.1,0.0,0.1,-0.2
0.0,0.1,-0.1,-0.1,0.1,-0.3
0.1,0.1,0.0,-0.2,0.0,0.1
0.1,0.1,-0.2,-0.2,-0.3,-0.1
-0.1,0.1,0.1,0.2,0.1,-0.2
0.1,0.1,-0.2,-0.1,0.1,-0.3
-0.1,0.0,0.0,0.0,-0.2,-0.2
0.0,-0.1,0.2,0.1,0.2,-0.1
-0.1,0.0,0.2,-0.1,0.2,0.1
0.1,-0.1,0.1,0.0,-0.1,0.1
0.1,0.1,0.1,0.2,0.0,-0.3
0.1,0.1,0.1,0.1,0.3,-0.3
-0.1,0.0,-0.2,0.1,0.3,-0.1
-0.1,0.0,-0.2,-0.2,0.1,-0.1
0.1,0.1,0.1,0.2,0.0,0.0
0.0,0.0,-0.2,-0.2,-0.3,0.3
0.0,-0.1,0.0,-0.2,0.0,0.3
0.0,0.0,0.1,0.1,0.2,-0.1
-0.1,-0.1,-0.2,-0.1,-0.1,0.0
0.0,0.0,0.2,-0.2,-0.2,-0.1
0.0,0.0,-0.1,-0.1,-0.2,-0.1
0.0,0.1,0.0,0.0,0.3,-0.3
-0.1,0.0,-0.1,0.0,0.2,0.1
-0.1,0.0,0.0,-0.2,0.3,0.1
-0.1,-0.1,-0.1,-0.2,-0.3,0.0
0.1,0.1,0.1,0.2,0.0,-0.1
0.0,-0.1,-0.2,0.1,-0.3,-0.2
0.1,-0.1,-0.2,0.1,0.1,-0.2
0.1,-0.1,0.2,0.2,-0.1,0.3
0.1,0.0,0.0,-0.2,0.0,0.2
0.1,-0.1,-0.1,0.2,-0.3,-0.1
0.0,-0.1,0.0,-0.1,-0.2,0.0
0.1,0.0,0.0,-0.2,-0.3,0.1
0.1,-0.1,0.1,0.2,0.1,-0.1
0.0,0.0,-0.2,-0.1,-0.2,0.0
-0.1,0.1,-0.2,0.1,-0.3,-0.3
0.1,0.0,-0.1,-0.2,0.0,0.3
0.0,-0.1,-0.1,0.2,0.3,0.2
0.1,0.0,0.2,-0.1,0.2,-0.3
0.0,0.0,0.1,0.1,0.2,0.1
0.0,0.1,0.1,0.0,0.1,0.1
-0.1,0.0,0.1,-0.2,0.1,-0.2
-0.1,-0.1,0.0,0.2,0.1,-0.3
-0.1,0.1,-0.2,0.2,-0.2,0.2
0.1,0.1,0.1,-0.1,-0.2,-0.2
0.1,-0.1,0.0,0.2,0.1,-0.2
0.0,0.0,-0.1,0.2,-0.2,0.3
0.0,-0.1,-0.2,0.2,0.0,0.1
0.1,0.0,-0.1,0.2,0.1,-0.1
-0.1,-0.1,-0.2,0.0,-0.3,-0.2
0.1,0.0,0.0,0.0,-0.2,-0.1
-0.1,-0.1,-0.1,0.2,0.2,0.0
-0.1,0.1,-0.1,-0.2,-0.1,0.0
0.1,0.1,0.2,0.2,0.0,-0.2
0.0,0.0,0.1,0.2,-0.1,-0.2
-0.1,-0.1,-0.1,0.1,0.0,0.2
-0.1,0.1,-0.1,-0.2,-0.1,0.1
-0.1,0.1,0.1,-0.1,0.1,0.1
-0.1,-0.1,-0.2,-0.2,0.3,0.2
0.1,-0.1,-0.2,-0.1,-0.2,-0.2
0.0,0.0,0.1,-0.2,-0.2,-0.3
-0.1,0.1,0.0,-0.2,0.2,-0.1
-0.1,0.1,-0.1,-0.2,0.0,-0.2
0.1,0.0,0.0,-0.2,-0.1,0.3
0.1,0.1,0.2,0.2,0.0,0.2
0.0,-0.1,0.2,-0.2,0.0,0.3
0.0,0.1,-0.2,0.1,0.1,-0.1
0.0,-0.1,0.1,-0.1,-0.2,0.1
-0.1,0.0,0.0,0.1,-0.2,-0.3
-0.1,0.1,-0.2,0.0,-0.1,-0.2
0.0,0.1,0.2,0.1,-0.1,0.2
0.0,0.1,0.1,0.2,0.2,-0.1
0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.0,-0.2,0.1,0.1,-0.3
-0.1,0.0,-0.1,0.1,0.1,0.0
-0.1,-0.1,0.2,-0.2,0.0,-0.2
-0.1,0.0,0.1,-0.2,-0.3,0.2
0.0,0.1,-0.1,0.1,-0.3,-0.3
-0.1,0.1,0.2,0.1,-0.2,0.2
0.1,-0.1,0.0,0.0,0.1,-0.1
0.0,-0.1,-0.1,-0.1,0.0,-0.3
0.1,-0.1,-0.2,-0.2,-0.1,0.2
0.1,0.1,-0.2,-0.2,-0.2,0.3
0.1,-0.1,0.1,0.0,-0.1,0.2
0.0,-0.1,-0.2,-0.1,-0.2,0.2
0.0,-0.1,-0.2,0.1,0.0,0.0
0.1,0.1,0.1,0.2,-0.1,0.0
0.1,-0.1,0.1,0.1,-0.1,0.2
0.1,-0.1,-0.1,-0.2,0.2,-0.2
0.0,-0.1,-0.2,-0.2,0.1,0.2
0.0,0.1,-0.1,-0.2,-0.1,0.2
0.0,0.1,-0.2,0.0,-0.1,0.1
0.0,0.1,0.2,0.0,0.1,-0.2
0.0,0.0,0.1,0.1,-0.2,-0.1
0.1,0.1,0.0,0.0,-0.2,-0.2
0.0,0.1,0.2,-0.2,0.1,-0.3
0.1,0.0,0.0,-0.1,0.0,-0.3
0.0,-0.1,0.0,0.2,-0.1,-0.3
-0.1,0.1,0.2,-0.2,0.0,-0.1
0.0,-0.1,-0.1,-0.2,0.2,-0.2
0.1,0.1,-0.2,0.2,0.2,-0.2
0.1,0.1,-0.2,0.0,-0.2,0.3
0.1,0.0,0.2,-0.2,0.1,-0.3
-0.1,0.0,0.0,-0.1,0.0,-0.2
0.1,-0.1,0.0,0.2,-0.2,-0.2
0.1,-0.1,-0.2,-0.2,-0.3,-0.3
0.0,-0.1,0.0,0.0,0.2,-0.3
-0.1,0.0,-0.1,-0.2,0.1,-0.3
-0.1,0.0,-0.2,-0.2,0.1,-0.2
0.1,0.0,-0.1,0.2,-0.2,0.1
0.0,-0.1,-0.2,0.2,-0.1,-0.1
-0.1,0.1,-0.2,0.0,0.2,0.3
-0.1,0.1,-0.1,0.1,0.1,0.1
0.0,0.0,-0.2,0.0,-0.1,0.0
0.1,-0.1,0.1,0.0,0.2,0.1
0.1,-0.1,0.2,0.2,0.0,0.2
-0.1,0.1,0.2,-0.1,-0.1,0.1
0.0,0.1,0.0,0.1,-0.2,0.1
-0.1,0.0,0.1,0.2,-0.2,0.1
-0.1,-0.1,0.1,0.2,-0.3,0.3
0.0,0.0,0.1,-0.1,0.1,-0.3
-0.1,0.0,0.1,-0.2,-0.2,-0.2
0.0,0.0,0.2,0.2,-0.2,-0.3
0.0,0.1,0.0,-0.2,0.1,-0.2
-0.1,0.1,0.1,-0.1,0.1,0.1
-0.1,0.0,0.2,-0.2,-0.3,0.1
0.1,-0.1,0.1,0.2,-0.3,-0.3
0.1,0.0,0.0,-0.2,-0.1,0.0
-0.1,-0.1,-0.1,-0.1,-0.2,-0.1
-0.1,0.0,0.2,0.2,-0.1,-0.2
-0.1,0.1,0.1,0.0,-0.2,-0.2
0.1,-0.1,0.0,0.2,0.2,-0.3
0.0,-0.1,0.1,-0.1,0.1,0.0
-0.1,0.0,0.0,-0.1,0.0,-0.1
-0.1,-0.1,0.0,0.0,0.2,0.1
0.0,0.1,-0.2,-0.2,-0.3,0.2
0.1,0.1,0.2,-0.1,0.0,0.1
0.1,-0.1,0.2,-0.2,0.0,-0.3
0.0,0.1,-0.2,0.2,0.2,-0.2
-0.1,0.0,-0.1,0.0,-0.1,-0.2
-0.1,-0.1,-0.1,0.1,0.3,-0.2
0.1,-0.1,-0.1,0.0,-0.2,-0.3
0.1,0.0,0.1,-0.1,-0.2,0.3
0.1,0.0,0.2,0.0,0.2,0.0
0.1,0.0,0.1,0.0,0.0,0.0
0.1,-0.1,0.2,0.2,0.0,0.1
0.1,0.1,0.2,0.2,-0.3,0.0
-0.1,0.1,0.2,0.1,-0.2,-0.2
-0.1,0.0,0.2,0.2,0.0,-0.1
0.0,0.0,0.0,-0.2,-0.1,-0.3
-0.1,0.1,-0.2,-0.2,-0.2,-0.3
0.0,-0.1,0.0,0.2,-0.1,-0.2
0.1,0.1,0.2,-0.2,-0.2,-0.2
0.0,0.1,0.1,0.0,-0.2,-0.3
0.1,0.0,0.2,-0.1,-0.1,0.3
-0.1,-0.1,-0.1,0.1,-0.2,0.0
0.1,-0.1,0.1,0.1,0.1,-0.2
0.0,-0.1,-0.2,-0.1,0.2,-0.1
0.0,-0.1,-0.1,-0.2,0.2,0.2
-0.1,-0.1,0.2,0.0,0.0,-0.2
-0.1,0.0,-0.2,-0.1,0.1,0.0
0.1,0.1,-0.2,0.0,0.1,-0.2
-0.1,-0.1,-0.1,-0.1,0.1,-0.2
0.0,-0.1,-0.2,0.2,0.1,-0.3
-0.1,0.0,-0.2,0.0,0.2,0.2
-0.1,0.0,0.1,-0.1,0.0,0.2
0.0,0.1,0.2,0.1,0.1,0.0
0.1,0.1,-0.2,0.1,0.2,0.1
0.1,0.0,-0.2,-0.2,0.1,0.0
-0.1,0.0,-0.2,0.0,0.0,0.0
0.0,0.1,-0.2,-0.1,-0.1,0.2
0.0,-0.1,0.0,-0.2,0.2,-0.1
-0.1,0.0,-0.1,-0.2,0.1,0.1
0.0,0.1,-0.2,0.1,0.0,0.2
0.0,-0.1,0.2,0.2,0.3,0.2
0.1,0.0,-0.2,0.1,-0.3,0.3
-0.1,0.1,-0.1,0.2,-0.3,-0.1
-0.1,0.0,-0.1,0.2,0.0,-0.2
-0.1,-0.1,0.2,-0.2,0.0,0.2
0.0,-0.1,-0.1,0.2,-0.2,-0.3
0.0,-0.1,0.1,-0.2,-0.3,-0.3
0.0,-0.1,0.0,-0.1,0.2,-0.2
-0.1,0.1,-0.1,-0.2,0.3,-0.1
0.0,-0.1,-0.1,-0.1,-0.3,-0.2
0.0,-0.1,0.1,0.0,-0.2,0.2
0.1,-0.1,0.1,0.1,-0.1,-0.2
-0.1,-0.1,0.0,0.1,-0.1,-0.1
0.0,0.1,0.0,0.2,-0.3,0.2
0.1,0.1,0.2,0.2,-0.1,0.0
0.1,0.1,0.0,0.0,-0.3,-0.3
0.0,0.1,0.2,-0.2,0.1,0.2
0.1,0.1,-0.1,0.1,0.2,-0.1
-0.1,0.1,-0.1,0.2,0.1,-0.1
0.0,0.1,0.0,-0.1,0.2,0.0
-0.1,0.0,0.2,0.1,0.2,-0.2
-0.1,0.1,-0.2,-0.2,0.2,-0.1
0.1,-0.1,0.2,-0.1,0.2,-0.2
0.1,0.1,-0.2,-0.2,0.0,0.2
0.0,0.1,0.0,0.0,-0.2,0.0
-0.1,0.0,0.1,0.2,0.0,-0.3
-0.1,0.1,0.0,0.1,0.3,0.1
-0.1,-0.1,-0.1,-0.2,0.2,0.0
0.1,-0.1,-0.1,0.1,0.3,-0.1
-0.1,-0.1,-0.1,0.1,0.1,0.0
0.1,-0.1,0.2,0.2,0.2,0.0
-0.1,-0.1,0.2,0.1,-0.1,0.2
0.0,-0.1,-0.2,0.0,0.1,0.2
0.0,0.0,0.2,0.0,-0.2,0.1
0.0,-0.1,-0.2,-0.1,-0.1,0.2
0.0,-0.1,0.0,-0.2,0.2,-0.3
0.1,-0.1,0.2,-0.2,-0.2,-0.2
0.0,-0.1,-0.1,-0.2,-0.3,-0.2
0.1,0.0,0.1,0.2,-0.2,0.2
0.0,0.1,0.0,0.0,-0.1,0.3
-0.1,0.0,0.2,-0.2,-0.2,-0.2
-0.1,-0.1,0.2,0.1,-0.3,-0.3
0.1,0.1,0.1,0.2,-0.2,-0.3
0.0,0.1,0.1,0.2,-0.3,0.0
-0.1,0.0,-0.2,0.1,0.1,-0.1
0.0,-0.1,0.1,-0.1,0.2,-0.3
0.1,0.0,-0.2,-0.1,-0.2,-0.3
0.0,0.0,0.0,-0.2,-0.2,0.1
0.1,-0.1,0.0,-0.1,-0.2,0.1
0.1,0.1,0.2,0.2,-0.2,-0.1
0.0,-0.1,0.1,0.2,0.3,-0.2
0.0,0.1,0.1,0.1,0.3,0.0
0.1,0.1,0.1,-0.1,0.0,-0.1
0.1,-0.1,0.0,-0.1,-0.1,0.0
0.1,0.0,0.0,-0.1,-0.2,-0.3
0.0,-0.1,0.0,0.1,0.2,-0.1
0.0,0.1,0.2,0.2,-0.2,0.2
0.1,0.0,0.0,-0.1,-0.1,0.0
0.1,-0.1,-0.2,0.2,-0.1,-0.1
0.1,0.0,-0.2,0.2,0.2,0.1
0.0,-0.1,0.0,-0.1,-0.1,0.1
-0.1,-0.1,-0.2,-0.2,0.1,-0.2
-0.1,0.1,0.1,-0.2,0.0,0.0
-0.1,0.0,0.0,-0.1,-0.1,-0.1
0.1,0.0,0.1,0.1,-0.1,-0.2
0.1,0.1,0.0,0.1,-0.3,-0.2
0.0,0.0,-0.1,0.1,0.1,0.1
0.1,0.1,0.0,0.0,0.1,-0.3
0.0,0.1,0.1,-0.2,0.0,-0.3
-0.1,-0.1,-0.2,0.1,0.0,0.1
-0.1,0.0,0.1,-0.2,0.3,-0.3
0.0,0.1,0.1,0.1,0.2,0.2
0.1,0.1,-0.2,0.0,0.0,-0.2
0.1,0.0,-0.1,-0.1,-0.3,0.2
0.1,0.1,0.2,-0.2,-0.1,-0.3
0.1,0.0,0.2,0.2,-0.1,-0.2
-0.1,0.0,0.2,0.1,0.0,-0.1
-0.1,-0.1,0.1,-0.1,-0.3,-0.2
-0.1,-0.1,0.1,0.1,-0.3,0.3
-0.1,-0.1,0.0,0.2,-0.2,-0.1
-0.1,-0.1,0.2,-0.2,0.2,0.0
-0.1,0.0,-0.1,0.1,-0.2,0.1
0.0,-0.1,-0.1,0.0,0.0,0.3
0.0,0.1,-0.2,0.0,0.1,0.1
0.0,0.1,0.1,-0.1,0.0,0.2
0.0,0.0,0.0,0.2,-0.1,0.2
-0.1,0.1,0.2,0.2,-0.1,0.0
0.1,-0.1,-0.1,-0.1,-0.1,-0.2
0.0,0.0,-0.1,-0.1,0.2,-0.3
0.1,0.0,0.2,0.0,0.3,0.1
0.0,-0.1,0.2,0.0,0.2,0.2
0.0,0.0,0.0,0.0,-0.2,-0.1
0.0,0.1,-0.2,0.2,0.2,0.3
0.0,-0.1,0.1,-0.1,-0.2,0.1
-0.1,-0.1,0.1,0.2,-0.3,-0.2
0.0,0.0,0.2,0.1,0.0,-0.1
0.0,-0.1,-0.1,0.2,0.2,-0.2
-0.1,0.0,0.0,0.1,-0.1,0.0
0.0,-0.1,-0.1,0.0,0.1,0.2
0.0,0.1,-0.1,-0.1,0.0,0.1
0.0,0.1,0.2,-0.1,0.2,-0.2
0.0,-0.1,-0.2,0.1,0.2,0.1
0.1,-0.1,-0.2,0.1,0.1,0.1
0.1,0.0,0.0,0.0,-0.3,0.2
0.1,0.1,-0.2,-0.1,0.1,0.1
0.1,0.0,-0.1,0.0,-0.2,0.3
0.1,0.0,0.0,0.0,0.1,0.0
0.1,0.1,-0.2,0.0,-0.2,0.0
-0.1,0.0,-0.2,0.2,0.0,-0.1
-0.1,0.0,-0.2,0.1,-0.3,-0.2
0.0,0.1,0.0,0.1,0.0,-0.2
0.1,0.1,-0.1,0.0,-0.3,-0.2
0.0,0.0,-0.1,-0.2,0.2,-0.3
-0.1,0.0,0.1,-0.2,0.3,0.2
-0.1,0.1,0.1,-0.1,0.3,0.0
-0.1,0.0,-0.1,0.0,0.1,-0.2
-0.1,-0.1,-0.1,-0.2,0.1,-0.3
0.0,0.0,-0.2,-0.1,0.1,-0.3
0.0,0.0,-0.1,-0.2,0.0,0.1
0.0,0.0,0.1,0.0,0.0,0.2
-0.1,-0.1,0.0,0.2,0.0,0.2
0.1,0.1,-0.2,0.2,0.2,0.3
0.0,-0.1,-0.2,0.1,0.0,0.1
0.1,0.1,-0.2,-0.2,-0.3,-0.1
-0.1,0.1,0.2,-0.1,-0.2,-0.1
0.0,0.1,-0.1,-0.1,-0.2,-0.2
-0.1,-0.1,-0.1,0.0,-0.3,-0.1
0.0,0.0,0.0,-0.1,0.0,-0.3
0.0,0.0,-0.2,-0.2,-0.2,0.2
-0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.0,0.1,0.1,0.0,-0.1
0.0,0.1,0.0,-0.1,0.1,-0.1
0.1,-0.1,-0.1,0.1,-0.3,-0.1
0.1,-0.1,-0.2,0.0,-0.3,0.1
0.1,0.1,-0.2,-0.2,0.0,0.2
-0.1,0.0,-0.2,0.2,-0.1,-0.1
0.0,0.1,-0.2,-0.1,0.0,-0.3
0.1,0.1,0.2,-0.1,0.3,0.2
-0.1,0.1,-0.1,0.0,0.1,0.3
-0.1,0.1,0.1,0.0,-0.2,-0.1
0.1,0.0,0.1,-0.2,0.1,-0.2
0.1,-0.1,0.2,0.2,0.3,-0.2
0.0,0.1,0.2,0.0,0.1,-0.1
-0.1,-0.1,0.1,-0.1,-0.2,0.1
-0.1,-0.1,0.1,0.2,-0.1,0.1
-0.1,0.0,0.1,0.1,-0.3,0.1
-0.1,0.0,-0.2,0.1,0.2,0.0
0.1,-0.1,0.1,0.2,0.2,-0.3
0.1,0.1,-0.1,0.2,0.2,-0.3
-0.1,-0.1,-0.1,0.0,-0.3,-0.2
0.1,0.1,0.0,0.0,0.1,0.1
0.0,0.1,-0.1,0.1,0.1,-0.2
-0.1,-0.1,0.0,-0.1,0.0,-0.3
-0.1,0.1,0.1,-0.2,0.2,0.0
-0.1,0.0,0.0,-0.2,-0.1,-0.1
0.1,0.1,0.1,0.1,-0.1,-0.3
-0.1,0.0,-0.1,0.1,-0.2,-0.2
0.0,0.0,0.1,0.0,0.1,0.3
0.1,-0.1,0.0,-0.1,-0.3,0.2
-0.1,0.0,0.0,-0.1,-0.3,0.1
0.0,0.1,-0.1,-0.1,0.0,-0.1
0.0,0.0,-0.1,-0.2,0.2,0.1
0.1,0.0,-0.2,-0.1,-0.1,-0.3
-0.1,-0.1,0.2,-0.1,-0.1,-0.3
0.0,-0.1,0.1,0.2,-0.3,-0.2
0.0,0.0,-0.1,0.0,-0.3,0.1
0.1,0.1,0.0,-0.2,0.3,0.0
0.0,0.1,0.2,-0.2,0.2,0.0
-0.1,0.0,-0.1,-0.2,0.2,-0.1
-0.1,0.1,-0.1,0.1,0.0,0.2
0.1,0.1,0.0,-0.1,-0.2,0.3
0.0,-0.1,0.1,-0.1,0.1,0.2
0.1,0.1,0.1,0.0,-0.3,-0.1
-0.1,0.1,-0.1,0.0,0.3,-0.1
-0.1,0.0,0.0,0.1,0.3,0.3
-0.1,0.0,0.0,0.1,0.1,0.0
0.0,-0.1,0.2,0.0,-0.3,0.0
0.0,0.1,0.2,0.0,-0.3,0.0
0.1,0.0,-0.1,0.1,-0.1,0.2
-0.1,-0.1,0.0,-0.1,-0.3,-0.1
-0.1,0.1,0.0,0.0,-0.3,0.2
-0.1,-0.1,0.1,0.2,0.0,0.1
0.1,0.0,-0.1,0.1,-0.1,0.2
0.1,0.0,-0.1,-0.1,-0.1,0.1
0.1,0.1,-0.1,0.0,-0.3,0.0
0.1,0.1,0.0,0.1,0.2,-0.1
-0.1,0.0,-0.2,-0.2,-0.2,-0.1
-0.1,0.0,-0.2,0.0,-0.2,0.1
-0.1,0.0,-0.2,-0.2,0.0,0.1
-0.1,0.0,-0.2,-0.1,-0.2,0.0
0.1,0.0,-0.2,-0.1,-0.1,-0.1
-0.1,0.0,0.0,-0.1,0.0,0.3
0.1,0.0,0.0,-0.1,-0.2,0.0
0.0,0.1,0.2,0.2,-0.2,0.0
-0.1,-0.1,0.2,0.2,-0.2,0.0
0.1,0.0,-0.1,0.1,0.0,-0.3
0.0,-0.1,-0.2,0.2,-0.1,0.1
-0.1,-0.1,0.2,-0.2,-0.1,0.1
0.0,0.0,0.2,0.2,0.1,0.0
-0.1,-0.1,-0.2,0.2,0.1,0.3
0.0,0.0,-0.2,-0.1,-0.1,-0.2
0.1,-0.1,-0.2,-0.1,-0.1,-0.2
-0.1,0.0,0.0,-0.1,-0.2,-0.1
0.1,-0.1,0.0,-0.2,-0.3,0.0
0.1,0.0,0.1,0.2,-0.1,-0.2
0.0,-0.1,-0.1,0.2,0.1,-0.1
0.1,-0.1,0.0,-0.1,0.0,-0.2
0.0,-0.1,0.1,0.1,-0.3,0.0
0.0,0.0,0.1,0.1,-0.2,0.2
-0.1,0.0,0.0,0.1,0.3,0.2
0.1,-0.1,0.1,0.1,-0.2,0.1
0.0,0.1,-0.2,0.1,-0.2,-0.2
-0.1,-0.1,0.2,0.1,0.2,-0.1
0.1,0.0,-0.2,0.1,-0.1,-0.1
-0.1,-0.1,-0.1,0.0,-0.1,0.0
0.1,0.1,0.0,0.1,0.3,-0.1
0.0,-0.1,0.2,0.2,0.0,-0.2
0.0,0.1,-0.1,-0.1,-0.2,0.1
0.0,0.0,-0.1,0.2,-0.3,0.1
0.1,-0.1,0.1,0.1,0.1,-0.3
0.1,0.0,0.1,0.1,0.3,-0.1
-0.1,0.0,0.2,0.0,-0.3,0.1
0.1,0.0,0.0,0.1,0.0,0.0
-0.1,0.0,-0.1,-0.1,-0.3,-0.2
0.1,-0.1,-0.1,-0.2,-0.3,0.2
0.1,-0.1,-0.1,-0.2,-0.1,-0.1
-0.1,-0.1,0.1,-0.1,-0.2,-0.1
0.1,0.1,-0.2,0.2,-0.2,-0.3
0.0,0.1,-0.1,0.2,-0.2,0.0
-0.1,-0.1,0.1,-0.1,-0.2,0.0
-0.1,0.1,0.2,-0.1,-0.3,-0.3
0.1,0.0,0.2,-0.2,-0.1,-0.2
-0.1,0.1,-0.1,-0.2,0.1,-0.3
0.1,0.0,-0.2,-0.1,0.3,0.0
0.1,0.1,0.0,-0.1,0.1,-0.1
0.0,0.1,0.0,0.0,0.2,-0.3
0.1,0.0,0.0,-0.1,0.2,0.1
-0.1,0.1,0.0,-0.1,0.1,0.3
0.0,-0.1,0.1,-0.2,0.1,-0.3
0.1,0.1,0.0,-0.1,0.1,0.1
0.1,0.1,0.1,-0.1,-0.2,0.2
0.1,-0.1,0.0,0.2,0.1,0.2
0.1,0.0,-0.2,0.0,-0.1,0.0
0.0,-0.1,-0.1,0.1,-0.1,0.0
0.1,0.1,-0.1,0.0,0.0,0.1
